49. Danh mục ngành/ chuyên ngành/ chuyên môn được đào tạo
Mã|Tên
049.09720113|Y học cổ truyền
049.09720115|Y học cổ truyền
049.09720117|Dịch tễ học
049.09720118|Dược lý và độc chất
049.09720119|Phẫu thuật tạo hình, tái tạo và thẩm mỹ
049.09720155|Tai - Mũi - Họng
049.09720157|Mắt (Nhãn khoa)
049.09720158|Khoa học thần kinh
049.09720163|Y học dự phòng
049.09720202|Công nghệ dược phẩm và bào chế thuốc
049.09720203|Hóa dược
049.09720205|Dược lý và dược lâm sàng
049.09720206|Dược liệu - Dược học cổ truyền
049.09720208|Hóa sinh dược
049.09720210|Kiểm nghiệm thuốc và độc chất
049.09720212|Tổ chức quản lý dược
049.09720301|Điều dưỡng
049.09720302|Hộ sinh
049.09720401|Dinh dưỡng
049.09720501|Răng - Hàm - Mặt
049.09720601|Kỹ thuật xét nghiệm y học
049.09720602|Kỹ thuật hình ảnh y học
049.09720603|Kỹ thuật phục hồi chức năng
049.09720701|Y tế công cộng
049.09720801|Quản lý Y tế
049.09720802|Quản lý bệnh viện
049.09729003|Y học quân sự
049.09760101|Công tác xã hội
049.09810101|Du lịch
049.09810302|Huấn luyện thể thao
049.09840103|Tổ chức và quản lý vận tải
049.09840106|Khoa học hàng hải
049.09850101|Quản lý tài nguyên và môi trường
049.09850103|Quản lý đất đai
049.09860101|Trinh sát an ninh
049.09860102|Trinh sát cảnh sát
049.09860103|Trinh sát kỹ thuật
049.09860104|Điều tra hình sự
049.09860107|Kỹ thuật Công an nhân dân
049.09860108|Kỹ thuật hình sự
049.09860109|Quản lý nhà nước về an ninh trật tự
049.09860110|Quản lý trật tự an toàn giao thông
049.09860111|Thi hành án hình sự và hỗ trợ tư pháp
049.09860112|Tham mưu, chỉ huy công an nhân dân
049.09860113|Phòng cháy chữa cháy và cứu nạn cứu hộ
049.09860116|Hậu cần công an nhân dân
049.09860117|Tình báo an ninh
049.09860209|Lịch sử nghệ thuật quân sự
049.09860210|Chiến lược quân sự
049.09860211|Chiến lược quốc phòng
049.09860212|Nghệ thuật chiến dịch
049.09860213|Chiến thuật
049.09860214|Biên phòng
049.09860216|Quản lý biên giới và cửa khẩu
049.09860217|Tình báo quân sự
049.09860218|Hậu cần quân sự
049.09860220|Chỉ huy, quản lý kỹ thuật
049.09860221|Trinh sát quân sự
049.09900202|Biến đổi khí hậu và phát triển bền vững
049.09900205|Di sản học
049.51140201|Giáo dục mầm non (Cao đẳng)
049.51140202|Giáo dục tiểu học
049.51140217|Sư phạm Ngữ văn
049.51140231|Sư phạm Tiếng Anh
049.72101a1|Nghệ thuật thị giác
049.7220212QTD|Văn hóa và truyền thông xuyên quốc gia
049.72290a1|Điện ảnh và Nghệ thuật đại chúng
049.73106a1|Kinh doanh thương mại Hàn Quốc
049.73401a1|Kinh doanh số
049.74401a1|Công nghệ bán dẫn
049.74402a1|Khoa học quản lý và kinh tế đất đai
049.7480107TD|Quản trị và phân tích dữ liệu
049.75202a1|Thiết kế vi mạch
049.75290a1|Thiết kế công nghiệp và Đồ họa
049.7540118QTD|Công nghệ thực phẩm và sức khỏe
049.7720301A|Điều dưỡng đa khoa
049.7720301B|Điều dưỡng nha khoa
049.7720301C|Điều dưỡng gây mê hồi sức
049.7720301D|Điều dưỡng phụ sản
049.81401a1|Khoa học giáo dục
049.82290a1|Công nghiệp văn hóa và sáng tạo
049.8220214.01QTD|Ngôn ngữ học ứng dụng tiếng Anh
049.83401a1|Thương mại điện tử
049.84401a1|Công nghệ bán dẫn
049.84490a1|Khoa học tích hợp
049.85202a1|Thiết kế vi mạch
049.8900501.01QTD|Địa lý
049.khac|Khác
